,UserID,SessionID,DateTime,WebtoonID,PageViews,AvgTimeSpent,BounceRate,DeviceType,Location,UserType,Age,AgeGroup,TestGroup
0,277,S1474,2024-06-20 05:16:29,W221,19,9.17,1,Tablet,UK,Returning,21,18-24,B
1,857,S6460,2024-07-09 03:42:13,W362,1,6.93,0,Tablet,India,New,40,35-44,A
2,321,S8292,2024-09-08 05:30:26,W366,16,5.71,0,Mobile,USA,Returning,33,25-34,B
3,972,S1274,2024-01-05 01:48:57,W446,18,14.71,0,Tablet,India,Returning,41,35-44,B
4,566,S4381,2024-04-11 08:48:54,W31,10,9.88,1,Tablet,South Korea,Returning,43,35-44,B
5,733,S1970,2024-08-22 14:58:42,W410,15,9.33,1,Tablet,Japan,Returning,31,25-34,B
6,697,S6105,2024-05-11 23:27:54,W302,3,7.06,1,Desktop,Germany,Returning,25,25-34,A
7,457,S8301,2024-09-21 04:42:39,W55,9,11.14,1,Mobile,UK,New,13,13-17,A
8,826,S5001,2024-07-04 19:59:10,W113,9,1.97,0,Tablet,USA,Returning,50,45+,B
9,546,S4724,2024-02-11 03:42:21,W182,7,3.72,0,Desktop,South Korea,New,32,25-34,A
10,435,S7741,2024-01-20 19:12:42,W222,18,1.75,1,Tablet,UK,New,37,35-44,B
11,888,S4321,2024-10-01 15:49:59,W327,10,4.62,0,Tablet,South Korea,Returning,41,35-44,A
12,107,S2407,2024-06-08 21:47:49,W93,3,13.82,0,Mobile,South Korea,Returning,26,25-34,B
13,59,S2735,2024-05-04 07:04:16,W105,1,13.65,0,Tablet,USA,Returning,48,45+,B
14,150,S6092,2024-03-18 16:03:56,W117,17,2.88,1,Tablet,India,New,47,45+,B
15,830,S6264,2024-03-22 16:13:50,W119,5,8.93,1,Mobile,India,Returning,41,35-44,B
16,240,S7591,2024-02-13 21:01:35,W46,5,8.98,1,Desktop,India,New,33,25-34,A
17,448,S5019,2024-08-01 14:55:03,W140,5,8.5,1,Tablet,Japan,Returning,39,35-44,B
18,471,S7941,2024-06-15 00:46:35,W218,18,2.45,0,Desktop,Germany,Returning,13,13-17,B
19,637,S8198,2024-03-15 04:19:41,W447,9,11.71,1,Mobile,Japan,New,30,25-34,A
20,715,S8821,2024-06-07 02:00:45,W436,15,7.49,1,Mobile,India,Returning,38,35-44,B
21,726,S6034,2024-05-29 23:09:09,W74,6,12.87,0,Mobile,Germany,Returning,20,18-24,B
22,164,S4446,2024-01-29 22:09:57,W84,15,4.79,1,Mobile,USA,New,36,35-44,B
23,833,S3150,2024-05-20 00:30:21,W38,1,10.0,0,Tablet,India,Returning,13,13-17,B
24,470,S3784,2024-07-25 09:54:23,W95,3,11.46,1,Mobile,UK,Returning,42,35-44,A
25,340,S1308,2024-06-17 09:13:37,W320,9,13.4,1,Tablet,South Korea,Returning,27,25-34,A
26,368,S3544,2024-01-26 05:55:13,W117,11,10.49,0,Tablet,UK,New,30,25-34,B
27,210,S4331,2024-02-24 07:12:31,W113,8,4.41,0,Mobile,India,New,44,35-44,A
28,398,S1294,2024-10-01 03:43:29,W400,14,12.9,1,Desktop,USA,New,38,35-44,B
29,304,S3724,2024-04-14 09:15:41,W63,16,14.75,0,Desktop,Germany,New,44,35-44,A
30,96,S7823,2024-06-29 10:53:08,W437,19,9.57,1,Mobile,India,New,14,13-17,A
31,18,S7831,2024-03-12 12:13:31,W3,9,1.1,1,Tablet,South Korea,Returning,27,25-34,A
32,973,S4916,2024-05-25 20:39:43,W338,13,14.8,0,Mobile,South Korea,Returning,47,45+,B
33,824,S2487,2024-06-21 23:06:49,W51,3,5.39,0,Mobile,Germany,Returning,30,25-34,A
34,135,S4863,2024-04-15 08:33:33,W251,3,3.87,0,Desktop,Germany,Returning,39,35-44,A
35,207,S9792,2024-07-25 06:24:57,W344,14,9.42,1,Mobile,India,New,36,35-44,B
36,127,S7562,2024-09-12 07:07:28,W249,13,12.97,1,Tablet,India,Returning,44,35-44,A
37,893,S4692,2024-08-07 02:37:23,W33,13,1.21,0,Mobile,USA,New,40,35-44,B
38,181,S3619,2024-01-07 20:08:40,W450,17,4.95,1,Tablet,Germany,New,31,25-34,B
39,174,S5746,2024-05-28 11:42:28,W436,6,11.97,1,Mobile,South Korea,New,44,35-44,B
40,465,S9606,2024-07-29 00:36:52,W262,19,2.37,0,Mobile,UK,Returning,18,18-24,B
41,696,S8243,2024-02-02 06:26:47,W77,2,4.82,1,Tablet,UK,New,31,25-34,A
42,988,S2871,2024-05-25 08:47:38,W273,19,6.38,1,Mobile,UK,Returning,13,13-17,B
43,640,S1453,2024-06-25 19:06:44,W77,13,6.94,1,Tablet,South Korea,Returning,37,35-44,B
44,370,S8535,2024-03-21 22:21:26,W59,14,2.24,1,Tablet,Japan,Returning,17,13-17,B
45,196,S5641,2024-09-13 04:15:46,W65,13,4.38,1,Tablet,South Korea,New,23,18-24,B
46,440,S9254,2024-01-18 17:36:59,W60,9,3.09,0,Tablet,Japan,Returning,40,35-44,A
47,625,S4341,2024-03-07 02:26:23,W444,3,8.75,0,Mobile,South Korea,Returning,45,45+,A
48,516,S5474,2024-04-13 05:11:49,W321,14,1.96,1,Desktop,South Korea,New,40,35-44,A
49,591,S6959,2024-08-22 07:05:47,W485,13,3.47,0,Mobile,Japan,New,46,45+,A
50,123,S5331,2024-06-25 19:20:31,W233,8,7.38,1,Mobile,India,New,45,45+,B
51,151,S5475,2024-03-19 12:18:04,W324,5,12.48,0,Mobile,UK,New,40,35-44,B
52,884,S5254,2024-03-23 19:04:06,W458,8,14.85,0,Tablet,UK,Returning,38,35-44,B
53,671,S7885,2024-02-05 22:10:51,W371,1,12.55,0,Tablet,UK,Returning,41,35-44,B
54,138,S2964,2024-09-03 05:07:23,W184,8,6.79,1,Desktop,USA,New,28,25-34,A
55,585,S9644,2024-07-07 22:30:24,W229,12,10.65,0,Desktop,UK,New,45,45+,A
56,51,S8477,2024-04-09 21:21:48,W45,8,2.21,0,Tablet,Germany,New,16,13-17,B
57,849,S2506,2024-08-31 11:25:11,W60,10,3.91,1,Mobile,Japan,New,42,35-44,A
58,744,S7146,2024-01-10 09:57:50,W313,4,2.28,1,Desktop,South Korea,Returning,20,18-24,A
59,51,S7592,2024-09-20 20:06:02,W368,16,9.56,1,Mobile,South Korea,New,33,25-34,B
60,872,S4269,2024-08-31 14:32:11,W283,2,3.29,0,Mobile,South Korea,New,42,35-44,A
61,549,S4371,2024-08-22 03:36:30,W244,3,10.75,0,Mobile,UK,New,28,25-34,A
62,836,S1038,2024-03-30 16:40:59,W190,3,9.34,0,Desktop,UK,New,36,35-44,A
63,324,S5536,2024-01-30 03:46:11,W105,17,5.41,1,Tablet,UK,New,31,25-34,B
64,873,S8009,2024-10-04 11:06:20,W322,11,10.94,0,Mobile,South Korea,New,39,35-44,B
65,676,S9240,2024-08-17 15:05:18,W446,19,4.33,1,Tablet,India,Returning,31,25-34,A
66,764,S5994,2024-08-07 18:15:51,W1,15,1.65,1,Mobile,USA,New,44,35-44,B
67,823,S8208,2024-06-20 18:14:49,W254,8,13.18,1,Tablet,South Korea,Returning,45,45+,B
68,678,S5441,2024-01-17 08:43:45,W32,16,8.95,1,Mobile,India,New,14,13-17,A
69,871,S8393,2024-08-30 21:57:40,W180,9,6.48,0,Desktop,South Korea,Returning,50,45+,A
70,400,S6420,2024-05-15 06:54:13,W337,5,1.77,0,Desktop,Germany,New,23,18-24,A
71,619,S1956,2024-07-07 12:22:16,W70,16,11.25,0,Mobile,South Korea,New,45,45+,B
72,622,S6938,2024-02-04 21:39:54,W408,14,6.43,0,Mobile,South Korea,Returning,42,35-44,B
73,909,S5288,2024-09-17 15:31:56,W359,4,2.92,0,Desktop,South Korea,Returning,44,35-44,B
74,384,S9436,2024-03-10 03:30:36,W10,7,7.74,0,Desktop,Japan,Returning,50,45+,A
75,894,S8126,2024-09-11 07:18:23,W421,12,10.46,1,Desktop,Japan,New,25,25-34,B
76,131,S1264,2024-06-20 03:21:56,W491,16,1.45,1,Desktop,India,New,47,45+,B
77,549,S2399,2024-08-08 23:25:44,W33,6,3.31,0,Tablet,India,Returning,41,35-44,A
78,522,S3318,2024-04-24 08:14:32,W450,3,3.52,0,Desktop,Japan,Returning,39,35-44,A
79,602,S3571,2024-09-03 09:34:03,W208,19,7.27,0,Tablet,India,New,44,35-44,A
80,633,S3165,2024-06-11 01:44:51,W474,11,6.56,0,Desktop,India,New,46,45+,B
81,805,S4918,2024-01-12 14:11:10,W115,18,1.82,0,Mobile,South Korea,New,29,25-34,B
82,38,S3872,2024-08-10 11:18:25,W103,1,10.26,0,Tablet,Germany,New,40,35-44,A
83,47,S3217,2024-10-04 15:21:51,W148,20,8.96,0,Desktop,South Korea,Returning,30,25-34,B
84,827,S6226,2024-05-26 23:20:46,W23,10,1.31,0,Desktop,UK,Returning,22,18-24,A
85,304,S2068,2024-07-30 18:48:54,W496,2,6.69,1,Desktop,Germany,New,34,25-34,A
86,381,S5671,2024-01-13 22:36:06,W137,16,7.13,1,Mobile,USA,Returning,45,45+,B
87,432,S7754,2024-09-28 17:40:59,W269,15,3.33,1,Desktop,Japan,Returning,45,45+,B
88,890,S9802,2024-03-03 15:35:23,W482,3,2.24,0,Mobile,Germany,Returning,31,25-34,A
89,620,S6861,2024-01-17 14:57:22,W132,11,13.97,0,Tablet,Germany,Returning,21,18-24,A
90,676,S8969,2024-04-19 08:11:08,W452,19,2.96,1,Tablet,South Korea,New,32,25-34,A
91,998,S8797,2024-03-19 23:56:03,W499,16,12.19,1,Mobile,Japan,New,27,25-34,A
92,425,S7171,2024-08-26 20:42:25,W423,3,13.96,0,Mobile,USA,New,31,25-34,B
93,614,S4163,2024-08-09 09:27:23,W472,2,5.08,0,Tablet,Japan,New,36,35-44,B
94,161,S7456,2024-06-26 10:33:29,W266,18,8.95,1,Mobile,Japan,Returning,15,13-17,B
95,215,S7534,2024-04-02 07:28:56,W428,13,10.22,0,Mobile,UK,Returning,18,18-24,A
96,561,S1409,2024-02-02 14:55:17,W119,10,8.65,1,Tablet,UK,Returning,13,13-17,A
97,220,S7141,2024-10-06 21:51:31,W255,17,2.62,1,Mobile,UK,New,16,13-17,B
98,175,S6179,2024-09-12 18:51:37,W141,16,11.12,0,Mobile,South Korea,New,43,35-44,A
99,229,S9081,2024-04-10 16:53:33,W420,5,6.89,1,Tablet,India,Returning,26,25-34,A
100,72,S3922,2024-10-09 04:02:52,W50,19,11.2,0,Desktop,USA,Returning,29,25-34,A
101,7,S1355,2024-02-17 04:12:22,W324,8,6.54,0,Desktop,UK,Returning,45,45+,B
102,729,S8328,2024-03-02 03:25:03,W110,1,14.21,1,Mobile,South Korea,New,20,18-24,B
103,320,S6356,2024-02-02 21:30:51,W471,2,12.03,1,Mobile,USA,Returning,23,18-24,B
104,272,S8555,2024-08-19 02:28:08,W174,6,10.99,1,Mobile,South Korea,Returning,18,18-24,A
105,607,S8317,2024-04-20 16:31:38,W216,17,13.25,1,Mobile,Japan,Returning,19,18-24,B
106,440,S7278,2024-06-07 06:35:39,W80,5,5.51,0,Mobile,USA,Returning,22,18-24,B
